year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2021,118,Coimbatore North,Kongu,GEN,AMMAN K.ARJUNAN,AIADMK,AIADMK,81454,SHANMUGASUNDARAM V.M,DMK,77453,4001,1.9728894126696876,40.16489233181623,202799
2021,119,Thondamuthur,Kongu,GEN,S.P. VELUMANI,AIADMK,AIADMK,124225,KARTHIKEYA,DMK,82595,41630,18.058308860847347,53.886462124399756,230531
2021,120,Coimbatore South,Kongu,GEN,VANATHI SRINIVASAN,BJP,BJP,53209,KAMALHAASAN,OTHERS,51481,1728,1.1165315155235356,34.380512389752205,154765
2021,121,Singanallur,Kongu,GEN,"Jayaram, K.R",AIADMK,AIADMK,81244,"Karthik, N",DMK,70390,10854,5.372708777800328,40.215621148296464,202021
2021,122,Kinathukadavu,Kongu,GEN,Damodaran.S,AIADMK,AIADMK,101537,Kuruchi Prabhakaran,DMK,100442,1095,0.4710994471572698,43.684040699550415,232435
2021,123,Pollachi,Kongu,GEN,Pollachi V. Jayaraman,AIADMK,AIADMK,80567,"Dr. Varadharajan, K.",DMK,78842,1725,0.9728833442371467,45.439010084147355,177308
2021,124,Valparai,Kongu,SC,AMULKANDASAMI T K,AIADMK,AIADMK,71672,ARUMUGAM M,CPI,59449,12223,8.419667704516023,49.37040200589645,145172
2021,125,Udumalpet,Kongu,GEN,"Radhakrishnan,K.",AIADMK,AIADMK,96893,"Thennarasu,K.",INC,74998,21895,11.265293942106833,49.85284886652466,194358
2021,126,Madathukulam,Kongu,GEN,C MAHENDRAN,AIADMK,AIADMK,84313,R.JAYARAMAKRISHNAN,DMK,77875,6438,3.539268397268859,46.3507822893646,181902
2021,127,Palani,South,GEN,SENTHIL KUMAR I.P,DMK,DMK,108566,RAVI MANOHARAN K,AIADMK,78510,30056,14.634051337981537,52.86000856931407,205384
2021,128,Oddanchatram,South,GEN,SAKKARAPANI R,DMK,DMK,109970,NATARAJ N.P,AIADMK,81228,28742,14.245920815242174,54.506433513749286,201756
2021,129,Athoor,South,GEN,PERIYASAMY I,DMK,DMK,165809,THILAGABAMA M,PMK,30238,135571,58.95929372879881,72.10968078629207,229940
2021,130,Nilakottai,South,SC,S.Thenmozhi,AIADMK,AIADMK,91461,K.Murugavelrajan,DMK,63843,27618,14.944400854955223,49.49054408701063,184805
2021,131,Natham,South,GEN,NATHAM.R.VISWANATHAN,AIADMK,AIADMK,107762,M.A.ANDI AMBALAM,DMK,95830,11932,5.2973664115359345,47.84233986254906,225244
2021,132,Dindigul,South,GEN,SREENIVASAN.C,AIADMK,AIADMK,90595,PANDI.N,CPI(M),72848,17747,9.095521684314107,46.43087772527394,195118
2021,133,Vedasandur,South,GEN,GANDHIRAJAN S,DMK,DMK,106481,PARAMASIVAM V P B,AIADMK,88928,17553,8.237751079406795,49.97231086915712,213080
2021,134,Aravakurichi,Kongu,GEN,ELANGO. R,DMK,DMK,93369,ANNAMALAI. K,BJP,68553,24816,14.0113147464345,52.71689420373319,177114
2021,135,Karur,Kongu,GEN,SENTHILBALAJI V,DMK,DMK,101757,VIJAYABHASKAR. M.R,AIADMK,89309,12448,6.004534272345762,49.08446288167478,207310
2021,136,Krishnarayapuram,Kongu,SC,SIVAGAMA SUNDARI.K,DMK,DMK,96540,MUTHUKUMAR,AIADMK,64915,31625,17.48184099678279,53.36591082464539,180902
2021,137,Kulithalai,Kongu,GEN,R.Manickam,DMK,DMK,100829,N.R.Chandrasekar,AIADMK,77289,23540,11.921643302811766,51.06403451908273,197456
2021,138,Manapparai,Delta,GEN,ABDUL SAMAD P,DMK,DMK,98077,CHANDRASEKAR.R,AIADMK,85834,12243,5.521132095892635,44.22903476017822,221748
2021,139,Srirangam,Delta,GEN,Palaniyandi.M,DMK,DMK,113904,KuPa Krishnan,AIADMK,93989,19915,8.28962703962704,47.41258741258741,240240
2021,140,Tiruchirapalli (West),Delta,GEN,"Nehru, K.N.",DMK,DMK,118133,"Padmanathan, V.",AIADMK,33024,85109,46.482504000568,64.51864838147668,183099
2021,141,Tiruchirapalli (East),Delta,GEN,"INIGO IRUDAYARAJ,S.",DMK,DMK,94302,"VELLAMANDI NATARAJAN,N.",AIADMK,40505,53797,31.122437173138334,54.555236728837876,172856
2021,142,Thiruverambur,Delta,GEN,ANBIL MAHESH POYYAMOZHI,DMK,DMK,105424,P KUMAR,AIADMK,55727,49697,25.22523894362301,53.51118961692883,197013
2021,143,Lalgudi,Delta,GEN,A.SOUNDARAPANDIAN,DMK,DMK,84914,D.R.DHARMARAJ,AIADMK,67965,16949,9.698776565915516,48.59059020108267,174754
2021,144,Manachanallur,Delta,GEN,S. KATHIRAVAN,DMK,DMK,116334,M. PARANJOTHI,AIADMK,56716,59618,30.30617276419665,59.137144861452114,196719
2021,145,Musiri,Delta,GEN,N. Thiyagarajan,DMK,DMK,90624,M. Selvarasu,AIADMK,63788,26836,14.933279912746375,50.42903408901205,179706
2021,146,Thuraiyur,Delta,SC,S.STALINKUMAR,DMK,DMK,87786,T.INDRAGANDHI,AIADMK,65715,22071,12.549182378493938,49.913575473629145,175876
2021,147,Perambalur,Central,SC,"PRABHAHARAN, M.",DMK,DMK,122090,"THAMIZHSELVAN, R.",AIADMK,91056,31034,12.929432644796815,50.86532292334998,240026
2021,148,Kunnam,Central,GEN,"SIVASANKAR, S.S.",DMK,DMK,103922,"RAMACHANDRAN, R.T.",AIADMK,97593,6329,2.878401302534576,47.26326752441115,219879
