year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2026,64,Kilpennathur,North,GEN,RAMACHANDRAN.S,AIADMK,AIADMK,90503,PITCHANDI.K,DMK,60038,30465,13.860958187360662,41.17703262204832,219790
2026,65,Kalasapakkam,North,GEN,AGRI KRISHNAMURTHY. S S,AIADMK,AIADMK,89629,SARAVANAN. P.S.T,DMK,62889,26740,12.4879160498209,41.85786939526543,214127
2026,66,Polur,North,GEN,ABISHEK. R,TVK,TVK,67961,SARAVANAN. P,DMDK,67734,227,0.10720543300132708,32.095984282833435,211743
2026,67,Arani,North,GEN,JAYASUDHA. L,AIADMK,AIADMK,76735,MAHALAKSHMI GOVARTHANAN,DMK,71104,5631,2.4465376560857135,33.33956083106681,230162
2026,68,Cheyyar,North,GEN,MUKKUR N. SUBRAMANIAN,AIADMK,AIADMK,86680,DUSI K MOHAN,TVK,65599,21081,9.471626903895404,38.945050995192524,222570
2026,69,Vandavasi,North,SC,AMBETHKUMAR. S,DMK,DMK,63805,RANI. P,AIADMK,60472,3333,1.7431643689462564,33.37011777996276,191204
2026,70,Gingee,Central,GEN,GANESHKUMAR A,PMK,PMK,78201,GINGEE MASTHAN K S,DMK,65556,12645,5.836548935620257,36.09521259900671,216652
2026,71,Mailam,Central,GEN,SHANMUGAM C VE,AIADMK,AIADMK,82353,VIJAY NIRANJAN A,TVK,52312,30041,15.876144825362937,43.52212492270942,189221
2026,72,Tindivanam,Central,SC,VANNI ARASU,VCK,VCK,63833,ARJUNAN. P,AIADMK,63099,734,0.3744401252895024,32.563537489924805,196026
2026,73,Vanur,Central,SC,GOWTHAM D,DMK,DMK,68873,SURESH P,TVK,61839,7034,3.661272440518637,35.849135171430206,192119
2026,74,Viluppuram,Central,GEN,LAKSHMANAN R,DMK,DMK,72982,MOHANRAJ N,TVK,68863,4119,1.9120609779873923,33.87861963959113,215422
2026,75,Vikravandi,Central,GEN,SIVAKUMAR C,PMK,PMK,69727,VIJAI VADIVEL A,TVK,68817,910,0.4349259908904512,33.325367655844495,209231
2026,76,Tirukkoyilur,Central,GEN,PALANISAMY S,AIADMK,AIADMK,73033,VIJAY R BARANIBALAAJI,TVK,72748,285,0.13114422183160163,33.60651211588548,217318
2026,77,Ulundurpettai,Central,GEN,VASANTHAVEL G R,DMK,DMK,98471,KUMARAGURU R,AIADMK,96194,2277,0.8402152013638275,36.33589420004281,271002
2026,78,Rishivandiyam,Central,GEN,KARTHIKEYAN K,DMK,DMK,89711,ASHOK KUMAR G,TVK,84849,4862,1.9861516779345982,36.64739884393063,244795
2026,79,Sankarapuram,Central,GEN,RAKESH R,AIADMK,AIADMK,80250,UDHAYASURIYAN T,DMK,76810,3440,1.4605482150742164,34.07238205224007,235528
2026,80,Kallakurichi,Central,SC,ARUL VIGNESH C,TVK,TVK,81132,RAJEEVGANDHI S,AIADMK,80334,798,0.31967823864501294,32.50142212750274,249626
2026,81,Gangavalli,Central,SC,NALLATHAMBI. A,AIADMK,AIADMK,73167,CHINNADURAI. K,DMK,58763,14404,7.323608519465728,37.20122636377041,196679
2026,82,Attur,Central,SC,JAYASANKARAN. A.P.,AIADMK,AIADMK,80843,SELVABHARATHI. R.,TVK,65525,15318,7.353957829243001,38.811595037830784,208296
2026,83,Yercaud,Central,ST,USHARANI. P,AIADMK,AIADMK,87772,LAKSHMI JANARTHANAN. J,TVK,85583,2189,0.8631975772106375,34.61150194012429,253592
2026,84,Omalur,Central,GEN,MANI. R,AIADMK,AIADMK,112246,ADHIYAMAAN. R.V,TVK,97707,14539,5.362589859065577,41.401008413279776,271119
2026,85,Mettur,Central,GEN,VENKATACHALAM. G,AIADMK,AIADMK,86498,MIDHUN CHAKRAVARTHY. M,DMK,67393,19105,8.266805131866468,37.428008913697234,231105
2026,86,Edappadi,Central,GEN,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,148933,PREMKUMAR. K,IND,50823,98110,37.98840716633819,57.667184226931454,258263
2026,87,Sankari,Central,GEN,VETRIVEL. S,AIADMK,AIADMK,87342,SENTHILKUMAR. K,TVK,77825,9517,3.9039457869627823,35.82835272931631,243779
2026,88,Salem (West),Central,GEN,LAKSHMANAN.S,TVK,TVK,120407,KARTHE.M,PMK,45540,74867,31.938892609862336,51.366640074741795,234407
2026,89,Salem (North),Central,GEN,SIVAKUMAR. K,TVK,TVK,85710,RAJENDRAN. R,DMK,71676,14034,6.660275636888264,40.67637343862713,210712
2026,90,Salem (South),Central,GEN,VIJAY TAMILAN PARTHIBAN. A,TVK,TVK,91371,LOGANATHAN. M,DMK,58002,33369,16.05035064597743,43.949072158997986,207902
2026,91,Veerapandi,Central,GEN,PALANIVEL. M.S,TVK,TVK,79907,SRI BALAJI SUGUMAR. S,AIADMK,75836,4071,1.7259141494435613,33.876841547429784,235875
2026,92,Rasipuram,Central,SC,LOGESH TAMILSELVAN D,TVK,TVK,74808,PREMKUMAR S D,BJP,60297,14511,7.089603283173735,36.54875903849912,204680
2026,93,Senthamangalam,Central,ST,P CHANDRASEKAR,TVK,TVK,68815,C CHANDRASEKARAN,AIADMK,66160,2655,1.2661729148683514,32.81796201004354,209687
2026,94,Namakkal,Central,GEN,DILIP C S,TVK,TVK,79744,SRIDEVI MOHAN P S,AIADMK,68736,11008,5.185530635990635,37.56494867700192,212283
2026,95,Paramathi-Velur,Central,GEN,SEKAR S,AIADMK,AIADMK,61349,MOORTHIY K S,DMK,61041,308,0.16309671953189123,32.48643067065583,188845
2026,96,Tiruchengodu,Central,GEN,ARUNRAJ K G,TVK,TVK,79500,SRMT SEKAR (A) CHANDRASEKAR R,AIADMK,51328,28172,14.740322935088582,41.59646717803288,191122
2026,97,Kumarapalayam,Central,GEN,C.VIJAYALAKSHMI,TVK,TVK,81179,P.THANGAMANI,AIADMK,73483,7696,3.7482223217938473,39.537024410200466,205324
2026,98,Erode (East),Kongu,GEN,M.VIJAY BALAJI,TVK,TVK,69747,GOPINATH PALANIYAPPAN,INC,45781,23966,14.752574590804727,42.93364850141272,162453
2026,99,Erode (West),Kongu,GEN,ANANTH MOGHAN K.K.,TVK,TVK,96836,S. MUTHUSAMY,DMK,74586,22250,10.049683830171634,43.73803071364047,221400
2026,100,Modakkurichi,Kongu,GEN,D.SHANMUGAN,TVK,TVK,60715,S.KIRTHIKA,BJP,58285,2430,1.2738586383866555,31.82811820150032,190759
2026,101,Dharapuram,Kongu,SC,SATHYABAMA.P,AIADMK,AIADMK,81100,INDIRANI.T,DMK,64373,16727,8.365842435882048,40.561357180010404,199944
2026,102,Kangayam,Kongu,GEN,NSN NATARAJ,AIADMK,AIADMK,71122,MANI GOUNDER,TVK,62989,8133,3.9958925781441925,34.943547515402834,203534
2026,103,Perundurai,Kongu,GEN,JAYAKUMAR. S,AIADMK,AIADMK,70302,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,60609,9693,4.8299333286826185,35.03084420437898,200686
2026,104,Bhavani,Kongu,GEN,KARUPPANAN. K.C,AIADMK,AIADMK,75577,BALAKRISHNAN,TVK,68181,7396,3.5502560927021984,36.27875942646755,208323
2026,105,Anthiyur,Kongu,GEN,HARIBASKAR.P,AIADMK,AIADMK,60042,SIVABALAN.M,DMK,58782,1260,0.6782398062171983,32.31974162293096,185775
2026,106,Gobichettipalayam,Kongu,GEN,SENGOTTAIYAN.K.A,TVK,TVK,82612,NALLASIVAM.N,DMK,65992,16620,7.563931606038402,37.59756425018318,219727
2026,107,Bhavanisagar,Kongu,SC,V.P.TAMILSELVI,TVK,TVK,72391,A.BANNARI,AIADMK,67822,4569,2.129126960087607,33.73377758102472,214595
2026,108,Udhagamandalam,Kongu,GEN,BHOJARAJAN.M,BJP,BJP,48488,IBRAHIM.R,TVK,47512,976,0.6563374219926835,32.60705831719389,148704
2026,109,Gudalur,Kongu,SC,DHRAVIDAMANI.M,DMK,DMK,65590,PON.JAYASEELAN,AIADMK,42757,22833,15.097096686744996,43.36786982365893,151241
2026,110,Coonoor,Kongu,GEN,M. RAJU,DMK,DMK,50470,A. RAMU,AIADMK,42371,8099,5.727965825989787,35.694583928596685,141394
2026,111,Mettuppalayam,Kongu,GEN,SUNILANAND,TVK,TVK,75664,SMT.KAVITHA KALYANASUNDARAM,DMK,67896,7768,3.1794498176564248,30.969347451487607,244319
2026,112,Avanashi,Kongu,SC,KAMALI.S,TVK,TVK,84209,DR. L. MURUGAN,BJP,68836,15373,6.6377374784110525,36.35967184801382,231600
2026,113,Tiruppur (North),Kongu,GEN,V.SATHYABAMA,TVK,TVK,131401,M.S.M.ANANDAN,AIADMK,61409,69992,26.566764215792332,49.8756912892806,263457
2026,114,Tiruppur (South),Kongu,GEN,BALAMURUGAN. S,TVK,TVK,73793,DINESHKUMAR. N,DMK,60892,12901,7.174636012768749,41.03851757927636,179814
2026,115,Palladam,Kongu,GEN,K.RAMKUMAR,TVK,TVK,121297,K.P.PARAMASIVAM,AIADMK,83400,37897,12.589779877347897,40.29613240580172,301014
2026,116,Sulur,Kongu,GEN,NM.SUKUMAR,TVK,TVK,90531,V.P.KANDASAMY,AIADMK,85741,4790,1.7510894042640306,33.09558974059018,273544
2026,117,Kavundampalayam,Kongu,GEN,KANIMOZHI SANTHOSH,TVK,TVK,146466,ARUNKUMAR PRG,AIADMK,104326,42140,11.57720932660423,40.23890700594245,363991
2026,118,Coimbatore (North),Kongu,GEN,V. SAMPATHKUMAR,TVK,TVK,92500,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,21992,9.726282456691242,40.909472864857214,226109
2026,119,Thondamuthur,Kongu,GEN,S.P.VELUMANI,AIADMK,AIADMK,93316,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,14725,5.695245388688411,36.092191422128884,258549
2026,120,Coimbatore (South),Kongu,GEN,V SENTHILBALAJI,DMK,DMK,59724,V. SENTHILKUMAR,TVK,57453,2271,1.4511274832427046,38.16254416961131,156499
2026,121,Singanallur,Kongu,GEN,K.S.SRI GIRI PRASATH,TVK,TVK,84163,V.SRINIDHI,INC,65024,19139,8.658888039342541,38.07711970610723,221033
